Date,Open,High,Low,Close,Volume,Symbol,Source
2025-07-15 00:00:00-04:00,44459.83984375,44504.26953125,44002.390625,44023.2890625,496270000,^DJI,yfinance
2025-07-16 00:00:00-04:00,44152.73828125,44260.19140625,43758.98046875,44254.78125,450190000,^DJI,yfinance
2025-07-17 00:00:00-04:00,44229.87890625,44558.05078125,44200.0390625,44484.48828125,455310000,^DJI,yfinance
2025-07-18 00:00:00-04:00,44571.6796875,44571.6796875,44224.58984375,44342.19140625,497800000,^DJI,yfinance
2025-07-21 00:00:00-04:00,44368.3984375,44601.8515625,44311.421875,44323.0703125,446590000,^DJI,yfinance
2025-07-22 00:00:00-04:00,44338.62109375,44542.53125,44272.6015625,44502.44140625,483560000,^DJI,yfinance
2025-07-23 00:00:00-04:00,44661.12109375,45016.7109375,44638.44140625,45010.2890625,446630000,^DJI,yfinance
2025-07-24 00:00:00-04:00,44776.41015625,44912.26953125,44674.5703125,44693.91015625,453000000,^DJI,yfinance
2025-07-25 00:00:00-04:00,44757.28125,44944.4609375,44650.58984375,44901.921875,369500000,^DJI,yfinance
2025-07-28 00:00:00-04:00,44946.98046875,44946.98046875,44739.9609375,44837.55859375,416510000,^DJI,yfinance
2025-07-29 00:00:00-04:00,44833.73828125,44883.66015625,44568.828125,44632.98828125,488780000,^DJI,yfinance
2025-07-30 00:00:00-04:00,44677.8984375,44739.53125,44261.7109375,44461.28125,456840000,^DJI,yfinance
2025-07-31 00:00:00-04:00,44665.8203125,44665.8203125,44049.01171875,44130.98046875,689040000,^DJI,yfinance
2025-08-01 00:00:00-04:00,43781.76953125,43781.76953125,43340.6796875,43588.578125,705150000,^DJI,yfinance
2025-08-04 00:00:00-04:00,43724.01953125,44188.359375,43724.01953125,44173.640625,514180000,^DJI,yfinance
2025-08-05 00:00:00-04:00,44200.0703125,44308.5,43923.80859375,44111.73828125,455690000,^DJI,yfinance
2025-08-06 00:00:00-04:00,44196.609375,44290.08984375,44017.7109375,44193.12109375,518970000,^DJI,yfinance
2025-08-07 00:00:00-04:00,44430.08984375,44498.4296875,43799.19921875,43968.640625,492480000,^DJI,yfinance
2025-08-08 00:00:00-04:00,44044.94921875,44272.75,44028.94140625,44175.609375,452500000,^DJI,yfinance
2025-08-11 00:00:00-04:00,44184.359375,44273.03125,43911.30859375,43975.08984375,431510000,^DJI,yfinance
2025-08-12 00:00:00-04:00,44050.53125,44497.58984375,44050.53125,44458.609375,442850000,^DJI,yfinance
2025-08-13 00:00:00-04:00,44571.53125,44949.12109375,44571.53125,44922.26953125,521430000,^DJI,yfinance
2025-08-14 00:00:00-04:00,44890.83984375,44948.69921875,44690.5,44911.26171875,453530000,^DJI,yfinance
2025-08-15 00:00:00-04:00,45159.91015625,45203.51953125,44897.98046875,44946.12109375,547270000,^DJI,yfinance
2025-08-18 00:00:00-04:00,44963.171875,44998.828125,44868.3203125,44911.8203125,416460000,^DJI,yfinance
2025-08-19 00:00:00-04:00,44952.359375,45207.390625,44816.5,44922.26953125,466010000,^DJI,yfinance
2025-08-20 00:00:00-04:00,44922.69921875,45033.75,44767.96875,44938.30859375,512550000,^DJI,yfinance
2025-08-21 00:00:00-04:00,44808.2109375,44892.609375,44579.03125,44785.5,407540000,^DJI,yfinance
2025-08-22 00:00:00-04:00,44952.87890625,45757.83984375,44952.87890625,45631.73828125,484720000,^DJI,yfinance
2025-08-25 00:00:00-04:00,45605.25,45605.25,45273.08984375,45282.46875,393960000,^DJI,yfinance
2025-08-26 00:00:00-04:00,45236.828125,45437.62109375,45192.2890625,45418.0703125,490980000,^DJI,yfinance
2025-08-27 00:00:00-04:00,45417.4609375,45621.078125,45372.78125,45565.23046875,430980000,^DJI,yfinance
2025-08-28 00:00:00-04:00,45581.03125,45682.828125,45442.6796875,45636.8984375,540880000,^DJI,yfinance
2025-08-29 00:00:00-04:00,45590.9609375,45616.16015625,45377.2109375,45544.87890625,494870000,^DJI,yfinance
2025-09-02 00:00:00-04:00,45287.73046875,45295.80859375,44948.16015625,45295.80859375,533180000,^DJI,yfinance
2025-09-03 00:00:00-04:00,45309.4296875,45309.4296875,44980.359375,45271.23046875,479210000,^DJI,yfinance
2025-09-04 00:00:00-04:00,45204.87109375,45632.390625,45160.73828125,45621.2890625,457490000,^DJI,yfinance
2025-09-05 00:00:00-04:00,45656.48828125,45770.19921875,45211.78125,45400.859375,558920000,^DJI,yfinance
2025-09-08 00:00:00-04:00,45430.609375,45542.55859375,45277.73046875,45514.94921875,472240000,^DJI,yfinance
2025-09-09 00:00:00-04:00,45547.62109375,45764.19921875,45433.51171875,45711.33984375,449650000,^DJI,yfinance
2025-09-10 00:00:00-04:00,45731.5,45731.5,45380.05859375,45490.921875,579920000,^DJI,yfinance
2025-09-11 00:00:00-04:00,45577.08984375,46137.19921875,45577.08984375,46108.0,448340000,^DJI,yfinance
2025-09-12 00:00:00-04:00,46077.140625,46077.140625,45813.9296875,45834.21875,421730000,^DJI,yfinance
2025-09-15 00:00:00-04:00,45848.390625,45978.4296875,45771.87890625,45883.44921875,401500000,^DJI,yfinance
